NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
MEPHEDRONE,MEPHEDRONE,GENERIC_NAME,MEPHEDRONE,SCHEDULE I,,,DRUG
CHOCOLATE BALLS,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHOCOLATE SHAKE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHOKO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PHENAZOCINE,PHENAZOCINE,GENERIC_NAME,PHENAZOCINE,SCHEDULE II,,,DRUG
CHORIZO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PIMINODINE,PIMINODINE,GENERIC_NAME,PIMINODINE,SCHEDULE II,,,ANALOGUE
CHURRO NEGRO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHUTAZO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PRODINE,PRODINE,GENERIC_NAME,PRODINE,SCHEDULE II,,,ANALOG
COCO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PROPIRAM,PROPIRAM,GENERIC_NAME,PROPIRAM,SCHEDULE I,,,AGONIST
COFFEE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
COHETE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
COMIDA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CROWN CRAP,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CURLEY HAIR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DARK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DARK GIRL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DARK KIND,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DEAD ON ARRIVAL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DIESEL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DIRT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
TILIDINE,TILIDINE,GENERIC_NAME,TILIDINE,SCHEDULE I,,,PAINKILLER
DOG FOOD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DOGGIE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DROTEBANOL,DROTEBANOL,GENERIC_NAME,DROTEBANOL,SCHEDULE I,,,MORPHINAN
DOOJEE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DOPE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
FOSPROPOFOL,FOSPROPOFOL,GENERIC_NAME,FOSPROPOFOL,SCHEDULE IV,,,AGENT
DORADO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DOWN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
DOWNTOWN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
JWH-018,JWH-018,GENERIC_NAME,JWH-018,SCHEDULE I,,,CHEMICAL
DRAGON,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
JWH-073,JWH-073,GENERIC_NAME,JWH-073,SCHEDULE I,,,CHEMICAL
DRECK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
JWH-081,JWH-081,GENERIC_NAME,JWH-081,SCHEDULE I,,,CHEMICAL
DYNAMITE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
LEVOPHENACYLMORPHAN,LEVOPHENACYLMORPHAN,GENERIC_NAME,LEVOPHENACYLMORPHAN,SCHEDULE I,,,MORPHINAN
DYNO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
EL DIABLO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ENGINES,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ENRIQUE GRANDE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ESQUINA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ESQUINILLA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
AM-694,AM-694,GENERIC_NAME,AM-694,SCHEDULE I,,,DRUG
FAIRY DUST,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
FLEA POWDER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
FOOD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
