id,name,name_type,full_generic_name,category,fda_schedule
363,rims,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
364,tires,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
365,oxazepam,generic_name,oxazepam,opioid analgesics,schedule iv
366,perks,street_name,oxycodone containing acetaminophen,opioid analgesics,schedule ii
367,alprazolam,generic_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
368,xanax,brand_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
369,benzos,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
370,bicycle handle bars,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
371,bicycle parts,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
372,bricks,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
373,footballs,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
374,french fries,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
375,handlebars,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
376,sibutramine,generic_name,sibutramine,benzodiazepine derivative sedatives/hypnotics,schedule iv
377,hulk,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
378,l7,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
379,ladders,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
380,palitroque,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
381,planks,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
382,school bus,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
383,upjohns,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
384,white boys,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
385,white girls,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
386,xanies,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
387,xan,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
388,yellow boys,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
389,zanbars,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
390,jwh-019,generic_name,jwh-019,benzodiazepine derivative sedatives/hypnotics,schedule i
391,zannies,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
392,zan,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
393,jwh-122,generic_name,jwh-122,benzodiazepine derivative sedatives/hypnotics,schedule i
394,z-bars,street_name,alprazolam,benzodiazepine derivative sedatives/hypnotics,schedule iv
395,am-2201,generic_name,am-2201,benzodiazepine derivative sedatives/hypnotics,schedule i
396,amphetamine,generic_name,amphetamine,amphetamines,schedule ii
397,acelerador,street_name,amphetamine,amphetamines,schedule ii
398,4-methylethcathinone,generic_name,4-methylethcathinone,amphetamines,schedule i
399,amps,street_name,amphetamine,amphetamines,schedule ii
400,bam,street_name,amphetamine,amphetamines,schedule ii
401,b-bombs,street_name,amphetamine,amphetamines,schedule ii
402,beans,street_name,amphetamine,amphetamines,schedule ii
403,bennies,street_name,amphetamine,amphetamines,schedule ii
404,benz,street_name,amphetamine,amphetamines,schedule ii
405,black and whites,street_name,amphetamine,amphetamines,schedule ii
406,black beauties,street_name,amphetamine,amphetamines,schedule ii
407,black birds,street_name,amphetamine,amphetamines,schedule ii
408,black bombers,street_name,amphetamine,amphetamines,schedule ii
409,black mollies,street_name,amphetamine,amphetamines,schedule ii
410,blacks,street_name,amphetamine,amphetamines,schedule ii
411,apinaca,generic_name,apinaca,amphetamines,schedule i
412,blue boys,street_name,amphetamine,amphetamines,schedule ii
413,levomethadone,generic_name,levomethadone,amphetamines,schedule ii
414,bombita,street_name,amphetamine,amphetamines,schedule ii
415,brain ticklers,street_name,amphetamine,amphetamines,schedule ii
416,brownies,street_name,amphetamine,amphetamines,schedule ii
417,xlr-11 (drug),generic_name,xlr-11 (drug),amphetamines,schedule i
418,bumblebees,street_name,amphetamine,amphetamines,schedule ii
419,cartwheels,street_name,amphetamine,amphetamines,schedule ii
420,5f-pb-22,generic_name,5f-pb-22,amphetamines,schedule i
421,chalk,street_name,amphetamine,amphetamines,schedule ii
422,butyrfentanyl,generic_name,butyrfentanyl,amphetamines,schedule i
